Date,Close,Volume,Open,High,Low
10/27/2015,708.49,"2,245,800",707.38,713.62,704.55
10/28/2015,712.95,"2,178,900",707.33,712.98,703.08
10/29/2015,716.92,"1,456,000",710.5,718.26,710.01
10/30/2015,710.81,"1,908,800",715.73,718,710.05
11/2/2015,721.11,"1,886,300",711.06,721.62,705.85
11/3/2015,722.16,"1,565,400",718.86,724.65,714.72
11/4/2015,728.11,"1,706,700",722,733.1,721.9
11/5/2015,731.25,"1,861,600",729.47,739.48,729.47
11/6/2015,733.76,"1,511,600",731.5,735.41,727.01
11/9/2015,724.89,"2,069,800",730.2,734.71,719.43
11/10/2015,728.32,"1,608,000",724.4,730.59,718.5
11/11/2015,735.4,"1,366,400",732.46,741,730.23
11/12/2015,731.23,"1,837,200",731,737.8,728.65
11/13/2015,717,"2,075,500",729.17,731.15,716.73
11/16/2015,728.96,"1,905,900",715.6,729.49,711.33
11/17/2015,725.3,"1,510,900",729.29,731.84,723.03
11/18/2015,740,"1,684,300",727.58,741.41,727
11/19/2015,738.41,"1,327,100",738.74,742,737.43
11/20/2015,756.6,"2,212,300",746.53,757.92,743
11/23/2015,755.98,"1,414,500",757.45,762.71,751.82
11/24/2015,748.28,"2,333,100",752,755.28,737.63
11/25/2015,748.15,"1,122,100",748.14,752,746.06
11/27/2015,750.26,"838,500",748.46,753.41,747.49
11/30/2015,742.6,"2,097,600",748.81,754.93,741.27
12/1/2015,767.04,"2,134,600",747.11,768.95,746.7
12/2/2015,762.38,"2,230,400",768.9,775.96,758.96
12/3/2015,752.54,"2,590,600",766.01,768.99,745.63
12/4/2015,766.81,"2,757,300",753.1,768.49,750
12/7/2015,763.25,"1,812,300",767.77,768.73,755.09
12/8/2015,762.37,"1,829,500",757.89,764.8,754.2
12/9/2015,751.61,"2,700,000",759.17,764.23,737
12/10/2015,749.46,"1,984,900",752.85,755.85,743.83
